연령대,남성방문 비율,여성방문 비율
70세 이상,2.4,3.0
60~69세,8.1,8.3
50~59세,12.5,10.3
40~49세,10.5,8.5
30~39세,9.6,7.3
20~29세,7.4,6.8
10~19세,2.2,1.9
