±âÁØ¿¬¿ù,Áö¿ª¸í,°Ë»ö·®(°Ç)
202108,°æ»óºÏµµ ¿ï¸ª±º ,662
202109,°æ»óºÏµµ ¿ï¸ª±º ,323
202110,°æ»óºÏµµ ¿ï¸ª±º ,292
202111,°æ»óºÏµµ ¿ï¸ª±º ,254
202112,°æ»óºÏµµ ¿ï¸ª±º ,12
202201,°æ»óºÏµµ ¿ï¸ª±º ,11
202202,°æ»óºÏµµ ¿ï¸ª±º ,30
202203,°æ»óºÏµµ ¿ï¸ª±º ,19
202204,°æ»óºÏµµ ¿ï¸ª±º ,12
202205,°æ»óºÏµµ ¿ï¸ª±º ,189
202206,°æ»óºÏµµ ¿ï¸ª±º ,202
202207,°æ»óºÏµµ ¿ï¸ª±º ,74
