±âÁØ¿¬¿ù,Áö¿ª¸í,¹æ¹®ÀÚ ¼ö
202108,°æ»óºÏµµ ¿ï¸ª±º ,159256.0
202110,°æ»óºÏµµ ¿ï¸ª±º ,191781.0
202109,°æ»óºÏµµ ¿ï¸ª±º ,129713.0
202111,°æ»óºÏµµ ¿ï¸ª±º ,116423.0
202112,°æ»óºÏµµ ¿ï¸ª±º ,79284.0
202201,°æ»óºÏµµ ¿ï¸ª±º ,60716.0
202202,°æ»óºÏµµ ¿ï¸ª±º ,62153.0
202203,°æ»óºÏµµ ¿ï¸ª±º ,106912.0
202204,°æ»óºÏµµ ¿ï¸ª±º ,173757.0
202205,°æ»óºÏµµ ¿ï¸ª±º ,259744.0
202206,°æ»óºÏµµ ¿ï¸ª±º ,227979.0
202207,°æ»óºÏµµ ¿ï¸ª±º ,229915.0
