연령대,남성방문 비율,여성방문 비율
70세 이상,4.7,5.2
60~69세,8.9,9.7
50~59세,9.9,11.2
40~49세,8.7,8.1
30~39세,8.2,6.7
20~29세,5.7,6.1
10~19세,2.5,2.9
