연령대,남성방문 비율,여성방문 비율
70세 이상,1.1,1.2
60~69세,3.3,2.6
50~59세,3.9,3.2
40~49세,13.9,9.9
30~39세,14.0,15.3
20~29세,6.8,5.6
10~19세,5.3,6.3
