연령대,남성방문 비율,여성방문 비율
70세 이상,1.9,2.5
60~69세,5.1,4.9
50~59세,9.0,7.6
40~49세,11.0,8.8
30~39세,10.5,9.0
20~29세,8.1,8.9
10~19세,6.1,5.2
