동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드,
10,127,기타가족,가족_오빠,미식,맛집_파인애플_레스토랑,세빛섬
7,27,친구,친구,휴식/힐링,피크닉_힐링_요트투어,세빛섬
3,23,연인,커플,자연경관,섬_강변_공원,세빛섬
2,18,회사동료,직원,역사유적,다리,세빛섬
1,2,배우자,남편,레포츠/운동,캠핑,세빛섬
0,2,,,문화예술,나이트_서점,세빛섬
