동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드,
7,60,친구,친구,미식,식당_카페_커피,양림동펭귄마을
4,9,기타가족,가족_오빠_엄마,자연경관,전망대_산책로_공원,양림동펭귄마을
2,4,연인,커플,문화예술,미술관_공방,양림동펭귄마을
2,2,부모님,할머니,역사유적,한옥,양림동펭귄마을
1,1,자녀,학생,레포츠/운동,야구장,양림동펭귄마을
