±âÁØ¿¬¿ù,Áö¿ª¸í,°Ë»ö·®(°Ç)
202108,°æ»óºÏµµ Ä¥°î±º ,694
202109,°æ»óºÏµµ Ä¥°î±º ,925
202110,°æ»óºÏµµ Ä¥°î±º ,1452
202111,°æ»óºÏµµ Ä¥°î±º ,2082
202112,°æ»óºÏµµ Ä¥°î±º ,207
202201,°æ»óºÏµµ Ä¥°î±º ,235
202202,°æ»óºÏµµ Ä¥°î±º ,148
202203,°æ»óºÏµµ Ä¥°î±º ,264
202204,°æ»óºÏµµ Ä¥°î±º ,163
202205,°æ»óºÏµµ Ä¥°î±º ,641
202206,°æ»óºÏµµ Ä¥°î±º ,790
202207,°æ»óºÏµµ Ä¥°î±º ,633
