±âÁØ¿¬¿ù,Áö¿ª¸í,¹æ¹®ÀÚ ¼ö
202108,°æ»óºÏµµ Ä¥°î±º ,1535740.0
202110,°æ»óºÏµµ Ä¥°î±º ,1614746.0
202109,°æ»óºÏµµ Ä¥°î±º ,1623634.0
202111,°æ»óºÏµµ Ä¥°î±º ,1463478.0
202112,°æ»óºÏµµ Ä¥°î±º ,1334354.0
202201,°æ»óºÏµµ Ä¥°î±º ,1456800.0
202202,°æ»óºÏµµ Ä¥°î±º ,1313642.0
202203,°æ»óºÏµµ Ä¥°î±º ,1523661.0
202204,°æ»óºÏµµ Ä¥°î±º ,1623507.0
202205,°æ»óºÏµµ Ä¥°î±º ,1755125.0
202206,°æ»óºÏµµ Ä¥°î±º ,1639409.0
202207,°æ»óºÏµµ Ä¥°î±º ,1986685.0
