연령대,남성방문 비율,여성방문 비율
70세 이상,7.4,7.9
60~69세,9.9,8.6
50~59세,13.4,15.3
40~49세,7.9,9.2
30~39세,4.0,4.2
20~29세,3.4,3.6
10~19세,2.4,1.4
