연령대,남성방문 비율,여성방문 비율
70세 이상,8.3,6.7
60~69세,14.1,8.9
50~59세,14.5,9.8
40~49세,8.7,5.6
30~39세,6.3,3.4
20~29세,5.4,3.2
10~19세,2.3,1.7
