동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드,
6,64,기타가족,가족_엄마,자연경관,바다_둘레길_해변,고성 왕곡마을
2,17,친구,친구,미식,막국수_메밀_횟집,고성 왕곡마을
0,8,,,역사유적,초가집_기와집_한옥,고성 왕곡마을
0,4,,,문화예술,촬영지,고성 왕곡마을
0,2,,,휴식/힐링,힐링,고성 왕곡마을
0,1,,,레포츠/운동,놀이동산,고성 왕곡마을
