순위,관광지명,주소,분류,합산 검색 수
86,달빛여관,경기 수원시 장안구 팔달로271번길 8-0,모텔,293
87,다이소수원정자점,경기 수원시 장안구 대평로 80-0,기타쇼핑시설,288
88,광교산산림욕장,경기 수원시 장안구,자연공원,283
89,모텔피닉스,경기 수원시 장안구 수성로364번길 45-0,모텔,268
90,수원팔색길화성성곽길,경기 수원시 장안구,기타레저스포츠,255
91,약수암,경기 수원시 장안구 파장천로 144-143,종교성지,247
92,삼풍프라자,경기 수원시 장안구 만석로210번길 77-0,쇼핑몰,238
93,희망나눔페스티벌,경기 수원시 장안구 경수대로 893-0,기타문화관광지,215
94,일월공원물놀이장,경기 수원시 장안구 일월천로 77-0,테마공원,196
95,치우공방,경기 수원시 장안구 영화로50번길 31-0,공예체험,195
96,다이소수원북문점,경기 수원시 장안구 정조로 915-0,기타쇼핑시설,190
97,용연,경기 수원시 장안구,기타관광,186
98,썸모텔,경기 수원시 장안구 파장로 71-9,모텔,181
99,참마음선원,경기 수원시 장안구 팔달로291번길 27-3,종교성지,170
100,서수원클라이밍센터,경기 수원시 장안구 하률로12번길 4-0,기타레저스포츠,169
