동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드
480,413,회사동료,대리,문화예술,광장_클럽_노래방
11,110,기타가족,엄마_오빠,미식,바나나_카페_맛집
9,16,자녀,아들_딸,레포츠/운동,캠핑_캠핑여행
5,4,연인,커플_애인_여친,자연경관,강변_바다_공원
5,2,친구,친구,휴식/힐링,힐링여행
2,1,싱글,싱글,반려동물,펫
