순위,업소명,주소,분류,현지인 검색 수
79,훌리오수원역AK점,경기 수원시 팔달구 덕영대로 924-0,외국식,402
81,입주집,경기 수원시 팔달구 팔달문로3번길 37-0,한식,399
82,정지영커피로스터즈행궁본점,경기 수원시 팔달구 신풍로 42-0,카페/찻집,396
83,피자플래넷수원우만점,경기 수원시 팔달구 월드컵로 305-0,간이음식,392
84,개성손만두수원월드컵점,경기 수원시 팔달구 월드컵로 319-0,한식,383
85,미나미참치,경기 수원시 팔달구 효원로307번길 61-0,외국식,381
86,롯데리아수원팔달점,경기 수원시 팔달구 정조로 777-0,간이음식,375
87,이화정한정식[한식],경기 수원시 팔달구 효원로235번길 46-14,한식,356
88,1인자감자탕,경기 수원시 팔달구 중부대로206번길 4-0,한식,355
89,행궁81.2,경기 수원시 팔달구 신풍로 56-0,카페/찻집,351
90,카페디아즈,경기 수원시 팔달구 인계로166번길 48-7,카페/찻집,350
91,새벽집,경기 수원시 팔달구 경수대로519번길 12-9,한식,348
91,행궁맨션,경기 수원시 팔달구 신풍로63번길 3-1,카페/찻집,348
93,백년식당서서갈비수원본점,경기 수원시 팔달구 중부대로 241-0,한식,347
94,조대감부대찌개,경기 수원시 팔달구 인계로166번길 16-7,외국식,338
94,투썸플레이스수원나혜석거리점,경기 수원시 팔달구 인계로166번길 48-15,카페/찻집,338
96,한봉석할머니순두부,경기 수원시 팔달구 행궁로62번길 24-42,한식,333
97,백청우칼국수,경기 수원시 팔달구 수성로157번길 43-0,한식,332
98,마포설렁탕,경기 수원시 팔달구 인계로101번길 11-0,한식,331
99,자연폭포,경기 수원시 팔달구 덕영대로697번길 21-7,카페/찻집,329
100,스타벅스수원매산점,경기 수원시 팔달구 매산로 11-0,카페/찻집,326
