연령대,남성방문 비율,여성방문 비율
70세 이상,4.1,3.0
60~69세,11.2,9.2
50~59세,12.6,12.6
40~49세,8.9,7.5
30~39세,8.0,6.7
20~29세,7.3,5.8
10~19세,1.4,1.1
