유입지역명,유출지역명,유입유출 비율,유입/유출 구분 코드 (1:유입 / 2:유출)
서울특별시 노원구 , 서울특별시 중랑구,14.4,1
서울특별시 동대문구 , 서울특별시 중랑구,13.1,1
경기도 남양주시 , 서울특별시 중랑구,9.6,1
서울특별시 광진구 , 서울특별시 중랑구,8.3,1
경기도 구리시 , 서울특별시 중랑구,7.6,1
서울특별시 성북구 , 서울특별시 중랑구,5.0,1
서울특별시 성동구 , 서울특별시 중랑구,4.5,1
서울특별시 강남구 , 서울특별시 중랑구,3.2,1
서울특별시 강동구 , 서울특별시 중랑구,2.7,1
서울특별시 송파구 , 서울특별시 중랑구,2.5,1
서울특별시 도봉구 , 서울특별시 중랑구,2.5,1
경기도 의정부시 , 서울특별시 중랑구,2.3,1
경기도 하남시 , 서울특별시 중랑구,2.1,1
서울특별시 강북구 , 서울특별시 중랑구,1.7,1
서울특별시 서초구 , 서울특별시 중랑구,1.4,1
서울특별시 종로구 , 서울특별시 중랑구,1.3,1
서울특별시 중구 , 서울특별시 중랑구,1.2,1
서울특별시 용산구 , 서울특별시 중랑구,1.0,1
경기도 양주시 , 서울특별시 중랑구,0.8,1
서울특별시 마포구 , 서울특별시 중랑구,0.7,1
 서울특별시 중랑구,경기도 남양주시,19.3,2
 서울특별시 중랑구,서울특별시 노원구,9.4,2
 서울특별시 중랑구,서울특별시 동대문구,7.6,2
 서울특별시 중랑구,경기도 구리시,7.2,2
 서울특별시 중랑구,서울특별시 광진구,5.5,2
 서울특별시 중랑구,서울특별시 강남구,4.5,2
 서울특별시 중랑구,경기도 하남시,4.2,2
 서울특별시 중랑구,서울특별시 송파구,2.9,2
 서울특별시 중랑구,서울특별시 성동구,2.8,2
 서울특별시 중랑구,서울특별시 중구,2.7,2
 서울특별시 중랑구,서울특별시 성북구,2.2,2
 서울특별시 중랑구,경기도 의정부시,2.0,2
 서울특별시 중랑구,서울특별시 강동구,1.8,2
 서울특별시 중랑구,서울특별시 강북구,1.7,2
 서울특별시 중랑구,경기도 포천시,1.6,2
 서울특별시 중랑구,서울특별시 서초구,1.4,2
 서울특별시 중랑구,서울특별시 종로구,1.4,2
 서울특별시 중랑구,서울특별시 도봉구,1.3,2
 서울특별시 중랑구,서울특별시 용산구,1.2,2
 서울특별시 중랑구,경기도 양평군,1.1,2
