기준연월,지역명,검색량(건)
202108,경상남도 남해군 ,8126
202109,경상남도 남해군 ,7833
202110,경상남도 남해군 ,4959
202111,경상남도 남해군 ,4264
202112,경상남도 남해군 ,1172
202201,경상남도 남해군 ,1548
202202,경상남도 남해군 ,727
202203,경상남도 남해군 ,201
202204,경상남도 남해군 ,21382
202205,경상남도 남해군 ,16294
202206,경상남도 남해군 ,1585
202207,경상남도 남해군 ,1740
