연령대,남성방문 비율,여성방문 비율
70세 이상,6.5,4.2
60~69세,11.6,8.5
50~59세,14.5,10.1
40~49세,10.2,6.3
30~39세,8.6,4.7
20~29세,6.9,4.8
10~19세,1.1,1.1
