연령대,남성방문 비율,여성방문 비율
70세 이상,3.4,3.7
60~69세,7.1,7.2
50~59세,10.5,10.4
40~49세,8.5,7.9
30~39세,7.0,5.6
20~29세,7.3,6.1
10~19세,3.3,11.1
