동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드,
91,1728,기타가족,가족_언니_동생,미식,새우_음료_비빔국수,세화해변
14,1314,부모님,할머니_아빠_부모님,자연경관,바다_해변_해수욕장,세화해변
14,38,친구,친구,휴식/힐링,힐링_차크닉_신혼여행,세화해변
8,17,싱글,혼자,레포츠/운동,등산_수영장_스노쿨링,세화해변
5,15,자녀,아들,문화예술,서점_박물관_도서관,세화해변
4,4,연인,커플_남자친구,반려동물,애견,세화해변
2,3,회사동료,대리,역사유적,다리,세화해변
