동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드,
13,165,기타가족,가족_엄마_패밀리,미식,커피_카페_와인,청평호반
2,59,친구,친구,레포츠/운동,캠핑_수상레저_수영장,청평호반
1,48,회사동료,직원,자연경관,산_전망대_정원,청평호반
0,12,,,휴식/힐링,불멍_힐링_나들이,청평호반
0,4,,,문화예술,촬영지,청평호반
