동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드
492,1280,회사동료,대리_직원_동료,미식,맛집_볶음밥_양주
44,693,친구,친구,문화예술,노래방_클럽_문센
39,268,기타가족,가정_가족_사위,레포츠/운동,산행_등산_경기장
34,227,연인,애인_커플_여자친구,자연경관,둘레길_계곡_폭포
19,28,자녀,딸_학생_아들,역사유적,한옥_서당_사찰
10,22,학생,고딩_초딩_대학생,반려동물,반려동물_반려견_애견
9,9,부모님,부모님_어머니_어머님,휴식/힐링,나들이_가을여행_피크닉
4,1,배우자,배우자_아내,체험,말타기체험
