기준연월,지역명,검색량(건)
202108,전라남도 해남군 ,1353
202109,전라남도 해남군 ,1423
202110,전라남도 해남군 ,1639
202111,전라남도 해남군 ,3567
202112,전라남도 해남군 ,417
202201,전라남도 해남군 ,551
202202,전라남도 해남군 ,232
202203,전라남도 해남군 ,248
202204,전라남도 해남군 ,324
202205,전라남도 해남군 ,413
202206,전라남도 해남군 ,692
202207,전라남도 해남군 ,431
