순위,관광지명,주소,분류,
74,이천마이다스골프앤리조트,경기 이천시 설가로 602-0,레포츠(육상/해상/항공),경기도 이천시
75,하나로마트/호법농협,경기 이천시 이섭대천로 531-0,쇼핑,경기도 이천시
76,이천문구백화점,경기 이천시 서희로72번길 38-0,쇼핑,경기도 이천시
77,비담은,경기 이천시 도자예술로6번길 60-0,쇼핑,경기도 이천시
78,다이소/이천우리마트점,경기 이천시 이섭대천로 1403-0,쇼핑,경기도 이천시
79,하나로마트/설성농협,경기 이천시 진상미로 707-0,쇼핑,경기도 이천시
80,뉴스프링빌CC퍼블릭,경기 이천시 사실로527번길 158-0,레포츠(육상/해상/항공),경기도 이천시
81,스카이골프연습장,경기 이천시 중부대로1390번길 208-0,레포츠(육상/해상/항공),경기도 이천시
82,정도가,경기 이천시 도자예술로6번길 46-0,쇼핑,경기도 이천시
83,탑레포츠,경기 이천시 지산로 132-0,쇼핑,경기도 이천시
84,LG전자서비스센터/이천점,경기 이천시 이섭대천로 1430-0,쇼핑,경기도 이천시
85,다이소/이천마장점,경기 이천시 오천로 56-0,쇼핑,경기도 이천시
86,마장도서관,경기 이천시 마장로 11-0,문화시설,경기도 이천시
87,광주요센터점,경기 이천시 경충대로 3234-0,쇼핑,경기도 이천시
88,설봉산,경기 이천시,자연관광지,경기도 이천시
89,LG전자베스트샵/이천본점,경기 이천시 이섭대천로 1430-0,쇼핑,경기도 이천시
90,남한강식자재마트/장호원점,경기 이천시 장감로 10-0,쇼핑,경기도 이천시
91,이천시눈높이배드민턴체육관,경기 이천시 중부대로 1696-0,기타관광지,경기도 이천시
92,이천시립효양도서관,경기 이천시 경충대로2250번길 35-0,문화시설,경기도 이천시
93,안흥유원지,경기 이천시,휴양관광지,경기도 이천시
94,넥스트짐,경기 이천시 오천로 93-0,레포츠(육상/해상/항공),경기도 이천시
95,스파플러스,경기 이천시 중리천로115번길 45-0,휴양관광지,경기도 이천시
96,2000마트,경기 이천시 이섭대천로 1377-0,쇼핑,경기도 이천시
97,테르메덴,경기 이천시 사실로 984-0,체험관광,경기도 이천시
98,코오롱스포렉스/이천점,경기 이천시 중부대로798번길 125-0,레포츠(육상/해상/항공),경기도 이천시
99,이천아트홀,경기 이천시 부악로 40-0,공연/행사,경기도 이천시
100,지산포레스트리조트눈썰매장,경기 이천시 지산로 267-0,레포츠(육상/해상/항공),경기도 이천시
