연령대,남성방문 비율,여성방문 비율
70세 이상,2.3,2.1
60~69세,8.3,9.6
50~59세,10.1,15.2
40~49세,8.5,10.0
30~39세,7.8,9.5
20~29세,4.8,7.4
10~19세,1.7,1.7
