연령대,남성방문 비율,여성방문 비율
70세 이상,2.5,1.4
60~69세,8.6,4.4
50~59세,10.3,4.0
40~49세,8.4,3.6
30~39세,7.7,2.8
20~29세,27.6,9.5
10~19세,5.9,3.2
