업종대분류명,업종중분류명,중분류 소비액
쇼핑업,관광기념품,7.7797818E7
쇼핑업,레저용품쇼핑,1.8483028666E10
쇼핑업,대형쇼핑몰,1.06315093675E11
숙박업,호텔,6.77516001E9
숙박업,기타숙박,5.248126324E9
식음료업,식음료,1.12693784214E11
여가서비스업,관광유원시설,2.71028548E8
여가서비스업,골프장,1.1821331381E10
여가서비스업,기타레저,1.4449397E9
여가서비스업,문화서비스,1.502125545E9
여행업,여행업,1.6E7
운송업,렌터카,5.89768E7
운송업,육상운송,1020000.0
