순위,관광지명,주소,분류,외지인 검색 수
1,채계산출렁다리,전북 순창군 담순로 2172-33,기타관광,33831
2,강천산군립공원,전북 순창군,자연공원,27833
3,순창용궐산하늘길,전북 순창군,기타관광,21074
4,강천사,전북 순창군 강천산길 270-0,종교성지,18104
5,용궐산치유의숲,전북 순창군,자연공원,14084
6,순창고추장민속마을,전북 순창군 민속마을길 56-4,역사유적지,10158
7,금과골프장,전북 순창군 담순로 716-0,육상레저스포츠,6129
8,푸드사이언스관,전북 순창군 장류로 55-0,전시시설,4859
9,회문산자연휴양림,전북 순창군 안심길 214-0,자연공원,4622
10,발효소스토굴,전북 순창군 민속마을길 61-59,전시시설,4416
11,순창시장,전북 순창군 남계로 58-0,시장,3658
12,순창CC,전북 순창군,육상레저스포츠,3489
13,채계산,전북 순창군 담순로 2172-33,자연경관(산),2674
14,팔덕야구장,전북 순창군 신촌길 271-0,레저스포츠시설,2431
15,요강바위,전북 순창군,기타관광,2411
16,강천산군립공원매표소,전북 순창군,기타관광,2393
17,용궐산,전북 순창군,자연경관(산),2051
18,웅이네캠핑장,전북 순창군 용지길 7-50,캠핑,1811
19,구암사,전북 순창군 봉덕길 131-144,종교성지,1790
20,섬진강향가오토캠핑장,전북 순창군 향가로 575-0,캠핑,1683
21,향가유원지,전북 순창군,복합관광시설,1525
22,모텔스테이,전북 순창군 장류로 250-16,모텔,1450
23,순창발효테마파크푸드사이언스관,전북 순창군 장류로 55-0,전시시설,1334
24,순창발효테마파크,전북 순창군 장류로 55-0,테마공원,1323
25,회문랜드,전북 순창군 회문산로 252-142,캠핑,1215
26,장군목유원지,전북 순창군 장군목길 686-1,복합관광시설,1167
27,강천산계곡,전북 순창군,자연경관(산),1137
28,섬진강마실휴양숙박시설단지,전북 순창군 강경길 76-165,펜션/민박,1136
29,강천힐링스파,전북 순창군 광덕로 681-0,웰니스관광,1044
30,에스모텔,전북 순창군 옥천로 33-0,모텔,813
31,골드모텔,전북 순창군 대동로 76-0,모텔,780
32,스테이사계,전북 순창군 용지길 51-0,펜션/민박,727
33,영빈모텔,전북 순창군 순창로 222-0,모텔,684
34,쉴랜드,전북 순창군 인덕로 427-128,기타관광,654
