연령대,남성방문 비율,여성방문 비율
70세 이상,2.3,2.4
60~69세,5.7,5.5
50~59세,9.4,8.5
40~49세,9.5,8.1
30~39세,10.7,9.8
20~29세,11.3,11.0
10~19세,4.2,1.4
