동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드,
2,97,자녀,딸,자연경관,바다_해변_해수욕장,사천진해변(사천뒷불해수욕장)
1,68,기타가족,가족,미식,라면_식당_물고기,사천진해변(사천뒷불해수욕장)
0,16,,,레포츠/운동,낚시_바다낚시_스킨스쿠버,사천진해변(사천뒷불해수욕장)
