기준연월,지역명,검색량(건)
202108,경기도 광명시 ,900
202109,경기도 광명시 ,1136
202110,경기도 광명시 ,764
202111,경기도 광명시 ,898
202112,경기도 광명시 ,247
202201,경기도 광명시 ,235
202202,경기도 광명시 ,102
202203,경기도 광명시 ,101
202204,경기도 광명시 ,222
202205,경기도 광명시 ,1096
202206,경기도 광명시 ,658
202207,경기도 광명시 ,501
