연령대,남성방문 비율,여성방문 비율
70세 이상,3.0,3.8
60~69세,12.7,8.8
50~59세,20.9,18.1
40~49세,7.5,7.1
30~39세,3.0,3.5
20~29세,3.8,2.2
10~19세,2.2,1.2
