연령대,남성방문 비율,여성방문 비율
70세 이상,5.1,2.3
60~69세,10.3,6.7
50~59세,8.5,7.4
40~49세,5.7,5.8
30~39세,8.0,5.0
20~29세,16.3,12.8
10~19세,2.5,3.1
