동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드,
1,59,친구,친구,자연경관,바다_해수욕장_해변,감포항
0,48,,,미식,물회_맛집_매운탕,감포항
0,8,,,레포츠/운동,낚시_캠핑_수영장,감포항
0,3,,,문화예술,전시관,감포항
