연령대,남성방문 비율,여성방문 비율
70세 이상,4.2,4.5
60~69세,7.6,7.0
50~59세,9.4,9.0
40~49세,7.7,6.8
30~39세,7.0,5.0
20~29세,12.2,7.5
10~19세,6.4,4.4
