연령대,남성방문 비율,여성방문 비율
70세 이상,3.4,3.1
60~69세,13.1,6.3
50~59세,17.0,8.6
40~49세,12.4,6.4
30~39세,8.8,5.1
20~29세,6.6,5.3
10~19세,1.6,1.6
