연령대,남성방문 비율,여성방문 비율
70세 이상,3.6,3.0
60~69세,7.4,5.4
50~59세,8.6,9.1
40~49세,12.8,9.8
30~39세,9.4,9.9
20~29세,6.1,5.6
10~19세,4.1,2.9
