연령대,남성방문 비율,여성방문 비율
70세 이상,4.4,7.0
60~69세,7.3,13.1
50~59세,7.6,15.4
40~49세,6.3,9.3
30~39세,6.0,6.8
20~29세,5.0,6.6
10~19세,1.8,2.5
