순위,관광지명,주소,분류,합산 검색 수
1,통복시장,경기 평택시 통복시장로25번길 10-0,시장,88839
2,평택호관광단지,경기 평택시 평택호길 159-0,복합관광시설,45490
3,평택항국제여객터미널,경기 평택시 평택항만길 75-0,교통시설,43875
4,소풍정원,경기 평택시,도시공원,36424
5,해군만포대체력단련장,경기 평택시,육상레저스포츠,25477
6,평택시농업생태원,경기 평택시 청오로 33-34,도시공원,23867
7,이충레포츠공원,경기 평택시 장안웃길 149-0,도시공원,23107
8,CGV평택소사,경기 평택시 평남로 862-0,공연시설,22919
9,서평택골프클럽,경기 평택시 포승향남로 218-10,육상레저스포츠,21299
10,평택국제중앙시장,경기 평택시 중앙시장로25번길 11-4,시장,20738
11,배다리생태공원,경기 평택시,도시공원,20546
12,평택역광장,경기 평택시 평택로57번길 0-0,기타관광,19276
13,오산체력단련장,경기 평택시 용소금각로 360-0,육상레저스포츠,18671
14,내리문화공원,경기 평택시,도시공원,18199
15,캐니언파크평택,경기 평택시 비전5로 10-0,테마공원,17544
16,CGV평택고덕,경기 평택시 경기대로 945-0,공연시설,17430
17,라마다앙코르평택호텔,경기 평택시 평택항로184번길 3-10,호텔,16736
18,평택해군호텔,경기 평택시 2함대길 91-0,호텔,15714
19,평택호자동차극장,경기 평택시 평택호길 159-0,공연시설,15067
20,평택가로수길센트럴돔,경기 평택시 비전5로 10-0,쇼핑몰,13135
21,진위천유원지,경기 평택시 진위서로 264-15,복합관광시설,12866
22,롯데시네마송탄,경기 평택시 관광특구로 19-0,공연시설,12697
23,서정리전통시장,경기 평택시 서정역로47번길 20-0,시장,12121
24,웨스턴베이마리나호텔,경기 평택시 평택항로184번길 3-21,호텔,11520
25,가보호텔,경기 평택시 평택5로76번길 18-10,호텔,10486
26,오산비행장에어쇼,경기 평택시 경기대로 1627-0,기타관광,10472
27,오썸플렉스,경기 평택시 도시지원1길 91-0,기타레저스포츠,10391
28,송북시장,경기 평택시 탄현로346번길 33-0,시장,9790
29,CGV평택,경기 평택시 평택로 51-0,공연시설,9339
30,안중시장,경기 평택시 안현로서3길 34-0,시장,9199
31,평택당진항,경기 평택시,자연경관(하천/해양),7977
32,갈릴리캠핑장,경기 평택시 안중북로 119-0,캠핑,7750
33,호텔써밋,경기 평택시 고덕중앙로 200-33,호텔,7102
34,바람새마을,경기 평택시 새악길 43-62,농/산/어촌체험,7011
35,리치스테이호텔,경기 평택시 고덕중앙2로 77-6,호텔,6202
36,평택국제자동차부두,경기 평택시 평택항만길 399-16,자연경관(하천/해양),6060
37,부락산문화공원,경기 평택시,도시공원,5152
38,기아자동차평택항전용부두,경기 평택시,자연경관(하천/해양),5139
39,여술근린공원,경기 평택시,도시공원,5099
40,계양낚시터,경기 평택시,수상레저스포츠,4965
41,힐탑포레스트,경기 평택시 밀월로43번길 7-0,기타숙박,4921
42,무봉산청소년수련원,경기 평택시 진위로 181-94,육상레저스포츠,4838
43,평택스테이호텔,경기 평택시 평택1로 7-0,호텔,4779
44,평택해양경찰서전용부두,경기 평택시 서동대로 416-0,자연경관(하천/해양),4619
45,진위천오토캠핑장,경기 평택시,캠핑,4567
46,이끌림클래식호텔평택점,경기 평택시 평택항로184번길 3-13,호텔,4541
47,허브모텔,경기 평택시 통복로32번길 14-0,모텔,4445
48,호텔리즈,경기 평택시 안재홍로 208-14,모텔,4365
49,평택호예술공원,경기 평택시,도시공원,4252
50,브라운도트호텔고덕신도시점,경기 평택시 고덕중앙로 200-19,호텔,4247
51,웃다리문화촌,경기 평택시 용소금각로 438-14,교육시설,4199
52,신대레포츠공원,경기 평택시,도시공원,4035
53,M모텔,경기 평택시 서정역로26번길 23-4,모텔,4018
54,엘리시아호텔,경기 평택시 여술1길 31-0,호텔,3979
55,몽2모텔,경기 평택시 평택로88번길 37-0,모텔,3967
56,호텔프라하,경기 평택시 통복로26번길 11-0,모텔,3951
57,오월숲호텔,경기 평택시 자유로14번길 10-0,모텔,3885
58,베이비플러스평택점,경기 평택시 비전5로 11-0,기타쇼핑시설,3835
59,동부두외항,경기 평택시 평택항만길 0-0,자연경관(하천/해양),3831
60,헤르메스호텔,경기 평택시 포승공단로 278-11,모텔,3823
61,XYM호텔,경기 평택시 도일유통길 13-31,호텔,3787
62,심복사,경기 평택시 심복사길 22-0,종교성지,3624
63,롯데시네마평택비전,경기 평택시 경기대로 279-0,공연시설,3532
64,WM호텔,경기 평택시 청원로 661-13,호텔,3509
65,하운드호텔평택송탄점,경기 평택시 지산1로 86-0,호텔,3401
66,수도사,경기 평택시 호암길 58-0,종교성지,3349
67,코업스테이호텔,경기 평택시 평택항로184번길 3-5,호텔,3292
68,월호텔,경기 평택시 평택5로96번길 35-0,모텔,3244
69,호텔감평택점,경기 평택시 통복로37번길 16-0,모텔,3217
70,메가박스평택,경기 평택시 중앙로 46-0,공연시설,3193
71,베네호텔,경기 평택시 평택5로76번길 33-0,모텔,3173
72,벨르호텔,경기 평택시 평택로28번길 6-0,호텔,3049
73,고덕수변공원,경기 평택시,도시공원,3007
73,명법사,경기 평택시 평택5로 203-6,종교성지,3007
75,호텔갤러리,경기 평택시 평택1로20번길 9-0,모텔,2992
76,신장쇼핑몰,경기 평택시 쇼핑로 0-0,기타쇼핑시설,2933
77,넘버25평택시청점,경기 평택시 평택5로76번길 34-0,모텔,2874
78,바츠호텔,경기 평택시 평택5로76번길 22-0,모텔,2860
79,라센느호텔,경기 평택시 도일유통길 13-27,모텔,2838
80,호텔코너인,경기 평택시 탄현로 251-7,모텔,2813
81,고잔저수지,경기 평택시,자연경관(하천/해양),2797
82,스위스모텔,경기 평택시 방축길 10-10,모텔,2776
83,평택체력단련장,경기 평택시,육상레저스포츠,2771
84,호텔라움,경기 평택시 지산로5번길 9-0,모텔,2759
85,덕동산근린공원,경기 평택시,도시공원,2757
86,W호텔,경기 평택시 지산로12번길 35-0,모텔,2735
87,호텔알로,경기 평택시 송탄로 431-0,모텔,2728
88,호텔밴드,경기 평택시 송탄로 141-0,모텔,2663
89,쇼호텔,경기 평택시 평택2로10번길 19-0,모텔,2654
90,신장근린공원,경기 평택시 신장로 124-0,도시공원,2591
