순위,관광지명,주소,분류,
67,안민고개벚꽃길,경남 창원시 진해구,기타관광,경상남도 창원시 진해구
68,제황산공원모노레일카,경남 창원시 진해구 중원동로 54-0,레포츠(육상/해상/항공),경상남도 창원시 진해구
69,진해남문시티프라디움아파트상가,경남 창원시 진해구 웅천동로 16-0,쇼핑,경상남도 창원시 진해구
70,삼성디지털프라자/진해점,경남 창원시 진해구 진해대로 915-0,쇼핑,경상남도 창원시 진해구
71,경화역공원,경남 창원시 진해구,자연관광지,경상남도 창원시 진해구
72,진해내수면환경생태공원,경남 창원시 진해구 여명로25번길 55-0,문화관광,경상남도 창원시 진해구
73,롯데시네마/진해,경남 창원시 진해구 진해대로 752-0,문화관광,경상남도 창원시 진해구
74,창원솔라타워,경남 창원시 진해구 명동로 62-0,문화관광,경상남도 창원시 진해구
75,진해드림파크/목재문화체험장,경남 창원시 진해구 천자로 507-0,체험관광,경상남도 창원시 진해구
76,안민고개,경남 창원시 진해구,자연관광,경상남도 창원시 진해구
77,남광수산,경남 창원시 진해구 안골로 103-8,쇼핑,경상남도 창원시 진해구
78,대장동계곡,경남 창원시 진해구 대장로 227-0,자연관광지,경상남도 창원시 진해구
79,GS더프레시/진해풍호점,경남 창원시 진해구 충장로657번길 35-0,쇼핑,경상남도 창원시 진해구
80,진영슈퍼,경남 창원시 진해구 중원로9번길 4-0,쇼핑,경상남도 창원시 진해구
81,진해드림파크,경남 창원시 진해구,자연관광,경상남도 창원시 진해구
82,속천항,경남 창원시 진해구 속천로 0-0,자연관광,경상남도 창원시 진해구
83,진해카페리터미널,경남 창원시 진해구 진희로 36-0,자연관광지,경상남도 창원시 진해구
84,하나로마트/웅동농협,경남 창원시 진해구 웅동로 83-0,쇼핑,경상남도 창원시 진해구
85,다이소/롯데마트진해점,경남 창원시 진해구 진해대로 762-0,쇼핑,경상남도 창원시 진해구
86,중앙문구사,경남 창원시 진해구 진해대로886번길 12-1,쇼핑,경상남도 창원시 진해구
87,진해기적의도서관,경남 창원시 진해구 석동로 70-0,문화시설,경상남도 창원시 진해구
88,창원짚트랙,경남 창원시 진해구 명동로 62-0,레포츠(육상/해상/항공),경상남도 창원시 진해구
89,농심가마트,경남 창원시 진해구 풍호로 41-0,쇼핑,경상남도 창원시 진해구
90,풍호공원,경남 창원시 진해구,자연관광지,경상남도 창원시 진해구
91,수치해안,경남 창원시 진해구,기타관광지,경상남도 창원시 진해구
92,진해삼포방파제,경남 창원시 진해구 명제로324번길 0-0,기타관광지,경상남도 창원시 진해구
93,진해소사마을,경남 창원시 진해구 소사로43번길 6-0,기타관광지,경상남도 창원시 진해구
94,안청공원,경남 창원시 진해구 청안로 265-0,자연관광지,경상남도 창원시 진해구
95,소죽도공원,경남 창원시 진해구,문화관광,경상남도 창원시 진해구
96,진해내수면환경생태공원,경남 창원시 진해구 여명로25번길 55-0,자연관광지,경상남도 창원시 진해구
97,진해드림로드/장복하늘마루산길,경남 창원시 진해구 장복산길 0-0,레포츠(육상/해상/항공),경상남도 창원시 진해구
98,CU/신항부영8단지점,경남 창원시 진해구 신항동로 134-0,쇼핑,경상남도 창원시 진해구
99,진해문화센터,경남 창원시 진해구 진해대로 325-0,문화시설,경상남도 창원시 진해구
100,소쿠리섬,경남 창원시 진해구,자연관광지,경상남도 창원시 진해구
