동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드,
4,66,기타가족,가족,미식,카페_볶음밥_떡갈비,주작산자연휴양림
2,30,부모님,아빠,자연경관,바다_산_휴양림,주작산자연휴양림
0,21,,,휴식/힐링,힐링,주작산자연휴양림
0,3,,,역사유적,한옥마을_다리,주작산자연휴양림
0,1,,,체험,족욕체험,주작산자연휴양림
