순위,업소명,주소,분류,외지인 검색 수
80,우리동네가든,경기 고양시 일산동구 고봉로 723-0,한식,4034
81,짬뽕지존일산점 [중식],경기 고양시 일산동구 무궁화로 319-2,외국식,4019
82,올댓커피보넷길점,경기 고양시 일산동구 일산로380번길 5-6,카페/찻집,4001
83,고봉산시래기,경기 고양시 일산동구 성석로 60-0,한식,3957
84,편백가원,경기 고양시 일산동구 장백로 60-0,외국식,3934
85,2리식당,경기 고양시 일산동구 일산로372번길 59-0,외국식,3892
86,캐제커피,경기 고양시 일산동구 산두로175번길 29-0,카페/찻집,3871
87,우야우야,경기 고양시 일산동구 무궁화로 43-50,한식,3848
88,해오름한정식[한식],경기 고양시 일산동구 중앙로 1079-0,한식,3845
89,숲카페,경기 고양시 일산동구 능안길 27-0,카페/찻집,3821
90,커피팩토리위시티점,경기 고양시 일산동구 동국로 150-0,카페/찻집,3802
91,은수 테이블,경기 고양시 일산동구 일산로463번길 39-0,외국식,3735
92,삼보가든,경기 고양시 일산동구 호수로 640-0,한식,3713
93,스타벅스소노캄고양점,경기 고양시 일산동구 태극로 18-0,카페/찻집,3645
94,참마루한식보리밥부페,경기 고양시 일산동구 성현로 47-0,외국식,3569
95,소코아,경기 고양시 일산동구 산두로 53-0,외국식,3523
96,미니타이,경기 고양시 일산동구 산두로145번길 1-0,외국식,3518
97,홍성원일산점 [중식],경기 고양시 일산동구 일산로 142-0,외국식,3492
98,홍익돈까스일산식사점,경기 고양시 일산동구 고일로 4-1,외국식,3491
99,하우스텐커피웨스턴돔점,경기 고양시 일산동구 중앙로1261번길 55-0,카페/찻집,3413
100,두리원손두부,경기 고양시 일산동구 장진천길46번길 22-11,한식,3409
