연령대,남성방문 비율,여성방문 비율
70세 이상,4.4,4.8
60~69세,8.5,7.0
50~59세,12.6,11.0
40~49세,9.1,8.4
30~39세,5.9,5.0
20~29세,7.0,5.5
10~19세,4.4,4.3
