연령대,남성방문 비율,여성방문 비율
70세 이상,4.2,3.7
60~69세,10.1,8.3
50~59세,12.1,9.4
40~49세,10.7,6.7
30~39세,10.1,6.4
20~29세,8.3,4.6
10~19세,2.0,2.0
