동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드,
3,88,친구,친구,미식,차_단팥빵_아메리카노,동국사(군산)
2,53,부모님,부모님,자연경관,바다_정원_공원,동국사(군산)
0,37,,,문화예술,역사박물관_박물관_서점,동국사(군산)
0,20,,,역사유적,사찰,동국사(군산)
0,4,,,레포츠/운동,테마공원_산행,동국사(군산)
0,2,,,체험,달고나체험,동국사(군산)
