동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드,
10,66,기타가족,엄마_오빠_가족,자연경관,바다_공원_숲,김녕미로공원
2,21,부모님,아빠,미식,고기국수_라면_맛집,김녕미로공원
2,4,자녀,청소년,레포츠/운동,놀이터_서핑,김녕미로공원
1,0,싱글,혼자,,,김녕미로공원
