연령대,남성방문 비율,여성방문 비율
70세 이상,2.2,2.3
60~69세,6.6,4.8
50~59세,9.8,9.1
40~49세,9.9,8.3
30~39세,10.1,8.4
20~29세,10.6,11.3
10~19세,2.5,2.5
