동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드
724,13285,기타가족,동생_엄마_삼촌,미식,막국수_맛집_맥주
511,2684,연인,애인_커플_여자친구,자연경관,계곡_정원_공원
441,2102,친구,친구_지인_동창,휴식/힐링,나들이_호캉스_힐링
173,1893,자녀,아들_딸_학생,레포츠/운동,수영장_캠핑_헬스장
141,474,회사동료,대리_직원_동료,문화예술,노래방_갤러리_갤러리카페
123,220,부모님,아빠_할머니_할아버지,반려동물,애견_반려동물_반려견
104,198,배우자,와이프_신랑_아내,역사유적,한옥_유적지_묘지
31,17,학생,고딩_중딩_중학생,체험,한옥스테이_템플스테이_수학여행
7,0,싱글,혼자_싱글,,
