연령대,남성방문 비율,여성방문 비율
70세 이상,2.8,2.9
60~69세,9.7,9.9
50~59세,11.5,10.9
40~49세,8.7,6.2
30~39세,9.2,9.3
20~29세,4.8,5.8
10~19세,3.8,2.9
