유입지역명,유출지역명,유입유출 비율,유입/유출 구분 코드 (1:유입 / 2:유출)
충청북도 제천시 , 강원도 영월군,21.7,1
강원도 원주시 , 강원도 영월군,14.9,1
강원도 정선군 , 강원도 영월군,12.7,1
충청북도 단양군 , 강원도 영월군,5.2,1
강원도 평창군 , 강원도 영월군,4.5,1
강원도 태백시 , 강원도 영월군,3.1,1
충청북도 충주시 , 강원도 영월군,2.4,1
경기도 광주시 , 강원도 영월군,2.3,1
경기도 여주시 , 강원도 영월군,1.8,1
경기도 양평군 , 강원도 영월군,1.7,1
경기도 이천시 , 강원도 영월군,1.4,1
경기도 화성시 , 강원도 영월군,1.2,1
경기도 용인시 처인구 , 강원도 영월군,1.0,1
강원도 횡성군 , 강원도 영월군,0.9,1
강원도 강릉시 , 강원도 영월군,0.9,1
충청북도 음성군 , 강원도 영월군,0.8,1
경기도 용인시 기흥구 , 강원도 영월군,0.8,1
경기도 하남시 , 강원도 영월군,0.8,1
경기도 안성시 , 강원도 영월군,0.7,1
강원도 삼척시 , 강원도 영월군,0.7,1
 강원도 영월군,충청북도 제천시,32.3,2
 강원도 영월군,강원도 정선군,18.0,2
 강원도 영월군,강원도 원주시,12.0,2
 강원도 영월군,강원도 태백시,5.5,2
 강원도 영월군,강원도 평창군,5.3,2
 강원도 영월군,충청북도 단양군,3.9,2
 강원도 영월군,강원도 강릉시,2.2,2
 강원도 영월군,경기도 여주시,1.9,2
 강원도 영월군,강원도 삼척시,1.9,2
 강원도 영월군,강원도 횡성군,1.7,2
 강원도 영월군,충청북도 충주시,1.4,2
 강원도 영월군,경기도 이천시,1.0,2
 강원도 영월군,강원도 춘천시,0.9,2
 강원도 영월군,강원도 동해시,0.6,2
 강원도 영월군,경상북도 영주시,0.5,2
 강원도 영월군,강원도 속초시,0.5,2
 강원도 영월군,경기도 양평군,0.5,2
 강원도 영월군,경기도 광주시,0.4,2
 강원도 영월군,경상북도 봉화군,0.4,2
 강원도 영월군,강원도 홍천군,0.4,2
