연령대,남성방문 비율,여성방문 비율
70세 이상,5.0,3.9
60~69세,11.0,8.8
50~59세,11.5,7.7
40~49세,11.5,7.6
30~39세,8.9,8.5
20~29세,4.1,3.7
10~19세,2.9,2.8
