순위,관광지명,주소,분류
1,아야진해수욕장,강원 고성군,자연관광지
2,송지호해변,강원 고성군 오호2길 24-0,자연관광지
3,고성통일전망대,강원 고성군,기타관광지
4,화진포의성,강원 고성군 화진포길 280-0,역사관광지
5,화진포해변,강원 고성군,자연관광지
6,거진항,강원 고성군 거진항1길 62-3,자연관광지
7,백섬해상전망대,강원 고성군,기타관광지
8,화암사,강원 고성군 화암사길 100-0,역사관광지
9,대진항,강원 고성군 대진항길 100-0,자연관광지
10,청간정,강원 고성군 동해대로 5110-0,기타관광지
11,소노펠리체CC 델피노,강원 고성군 미시령옛길 1153-0,레포츠(육상/해상/항공)
12,가진항,강원 고성군 가진해변길 121-19,자연관광지
13,아야진해수욕장,강원 고성군,자연관광
14,송지호관망타워,강원 고성군 동해대로 6021-0,기타관광지
15,봉포해변,강원 고성군,자연관광지
16,아야진항,강원 고성군,자연관광지
17,능파대,강원 고성군,기타관광지
18,봉포항,강원 고성군,자연관광지
19,천진해변,강원 고성군,자연관광지
20,건봉사,강원 고성군 건봉사로 723-0,역사관광지
21,공현진항,강원 고성군,자연관광지
22,이승만별장,강원 고성군 이승만별장길 33-0,기타관광지
23,삼포해변,강원 고성군,자연관광지
24,자작도해변,강원 고성군,자연관광지
25,화진포의성,강원 고성군 화진포길 280-0,역사관광
26,바우지움미술관,강원 고성군 원암온천3길 37-0,문화시설
27,천학정,강원 고성군,기타관광지
28,고성통일전망대,강원 고성군,문화관광
29,송지호해변,강원 고성군 오호2길 24-0,자연관광
30,화진포해변,강원 고성군,자연관광
31,고성하늬라벤더팜라벤더축제,강원 고성군 꽃대마을길 175-0,문화관광
32,대진항수산시장,강원 고성군 대진항길 147-0,쇼핑
33,DMZ박물관,강원 고성군 통일전망대로 369-0,문화시설
34,하나로마트/토성농협,강원 고성군 천진1길 11-0,쇼핑
35,가진해변,강원 고성군,자연관광지
36,소노펠리체CC 델피노,강원 고성군 미시령옛길 1153-0,레저스포츠
37,파인리즈CC,강원 고성군 잼버리동로 267-0,레포츠(육상/해상/항공)
38,공현진1리해변,강원 고성군,자연관광지
39,서낭바위,강원 고성군,기타관광지
40,천년고성시장,강원 고성군 간성시장2길 9-3,쇼핑
41,백도해변,강원 고성군,자연관광지
42,거진항,강원 고성군 거진항1길 62-3,자연관광
43,청간해변,강원 고성군,자연관광지
44,하나로마트/금강농협죽왕점,강원 고성군 동해대로 5889-0,쇼핑
45,미시령옛길,강원 고성군,기타관광지
46,설악썬밸리CC,강원 고성군 순포로 188-0,레포츠(육상/해상/항공)
47,캔싱턴해변,강원 고성군,자연관광지
48,명파해변,강원 고성군,자연관광지
49,거진전통시장,강원 고성군 거진시장길 17-11,쇼핑
50,화암사,강원 고성군 화암사길 100-0,역사관광
51,화진포해양박물관,강원 고성군 화진포길 412-0,문화시설
52,거진항수산물판매장,강원 고성군 거진항1길 42-0,쇼핑
53,델피노CC,강원 고성군 미시령옛길 1153-0,레포츠(육상/해상/항공)
54,고성하늬라벤더팜라벤더축제,강원 고성군 꽃대마을길 175-0,기타관광지
55,화진포,강원 고성군,기타관광지
56,백섬해상전망대,강원 고성군,문화관광
57,거진1리해변,강원 고성군,자연관광지
58,초도항,강원 고성군 초도항길 0-0,자연관광지
59,청간정,강원 고성군 동해대로 5110-0,역사관광
60,반암해변,강원 고성군,자연관광지
61,봉포해변,강원 고성군,자연관광
62,봉수대해변,강원 고성군,자연관광지
63,보나테라,강원 고성군 거탄진로 19-0,쇼핑
64,대진항,강원 고성군 대진항길 100-0,자연관광
65,오호항,강원 고성군,자연관광지
66,능파대,강원 고성군,기타관광
67,하나로마트/거진농협,강원 고성군 거진길 32-0,쇼핑
68,이승만별장,강원 고성군 이승만별장길 33-0,기타관광
69,교암해변,강원 고성군,자연관광지
70,송지호,강원 고성군,자연관광지
71,델피노/오션플레이,강원 고성군 미시령옛길 1153-0,기타관광지
72,문암2리항,강원 고성군 괘진길 72-0,자연관광지
73,거진11리해변,강원 고성군,자연관광지
74,마차진해변,강원 고성군,자연관광지
75,봉포항,강원 고성군,자연관광
76,화진포생태박물관,강원 고성군 화진포길 278-0,문화시설
77,송지호관망타워,강원 고성군 동해대로 6021-0,문화관광
78,백도수산가리비직매장,강원 고성군 문암항길 92-0,쇼핑
79,삼포해변,강원 고성군,자연관광
80,건봉사,강원 고성군 건봉사로 723-0,역사관광
81,아야진항,강원 고성군,자연관광
82,가진항,강원 고성군 가진해변길 121-19,자연관광
83,천진해변,강원 고성군,자연관광
84,문암해변,강원 고성군,자연관광지
85,천학정,강원 고성군,역사관광
86,공현진2리해변,강원 고성군,자연관광지
87,자작도해변,강원 고성군,자연관광
88,오호리선착장,강원 고성군 심층수길 40-15,자연관광지
89,바우지움미술관,강원 고성군 원암온천3길 37-0,문화관광
90,공현진항,강원 고성군,자연관광
91,서낭바위,강원 고성군,기타관광
92,문암1리항,강원 고성군 문암항길 0-0,자연관광지
93,울산바위전망대,강원 고성군,기타관광지
94,DMZ박물관,강원 고성군 통일전망대로 369-0,문화관광
95,캔싱턴해변,강원 고성군,자연관광
96,초도해변,강원 고성군,자연관광지
97,파인리즈CC,강원 고성군 잼버리동로 267-0,레저스포츠
98,하나로마트/토성농협,강원 고성군 학사촌길 97-0,쇼핑
99,미시령옛길,강원 고성군,기타관광
100,대진항해상공원,강원 고성군,자연관광지
