기준연월,지역명,검색량(건)
202108,경기도,98587
202109,경기도,122441
202110,경기도,123575
202111,경기도,173022
202112,경기도,42345
202201,경기도,75273
202202,경기도,53804
202203,경기도,53493
202204,경기도,62789
202205,경기도,46679
202206,경기도,105468
202207,경기도,41005
