유입지역명,유출지역명,유입유출 비율,유입/유출 구분 코드 (1:유입 / 2:유출)
충청남도 금산군 , 전라북도 무주군,9.6,1
경상남도 거창군 , 전라북도 무주군,5.1,1
대전광역시 유성구 , 전라북도 무주군,5.0,1
충청북도 영동군 , 전라북도 무주군,4.7,1
대전광역시 서구 , 전라북도 무주군,4.1,1
전라북도 진안군 , 전라북도 무주군,4.0,1
대전광역시 동구 , 전라북도 무주군,4.0,1
전라북도 전주시 덕진구 , 전라북도 무주군,3.8,1
전라북도 장수군 , 전라북도 무주군,3.3,1
대전광역시 중구 , 전라북도 무주군,2.6,1
경상북도 김천시 , 전라북도 무주군,2.5,1
경상남도 함양군 , 전라북도 무주군,2.5,1
전라북도 전주시 완산구 , 전라북도 무주군,2.3,1
대전광역시 대덕구 , 전라북도 무주군,2.2,1
세종특별자치시  , 전라북도 무주군,2.1,1
전라북도 완주군 , 전라북도 무주군,2.1,1
충청북도 청주시 서원구 , 전라북도 무주군,2.0,1
충청남도 천안시 동남구 , 전라북도 무주군,1.5,1
충청북도 청주시 흥덕구 , 전라북도 무주군,1.3,1
경상남도 진주시 , 전라북도 무주군,1.3,1
 전라북도 무주군,충청남도 금산군,8.7,2
 전라북도 무주군,대전광역시 유성구,6.4,2
 전라북도 무주군,경상남도 거창군,5.3,2
 전라북도 무주군,충청북도 영동군,5.0,2
 전라북도 무주군,전라북도 진안군,4.6,2
 전라북도 무주군,전라북도 장수군,4.3,2
 전라북도 무주군,대전광역시 중구,4.2,2
 전라북도 무주군,전라북도 완주군,4.0,2
 전라북도 무주군,대전광역시 서구,3.8,2
 전라북도 무주군,전라북도 전주시 완산구,3.7,2
 전라북도 무주군,대전광역시 동구,3.4,2
 전라북도 무주군,경상남도 통영시,3.2,2
 전라북도 무주군,경상남도 진주시,3.1,2
 전라북도 무주군,전라북도 전주시 덕진구,2.8,2
 전라북도 무주군,경상남도 함양군,2.4,2
 전라북도 무주군,경상남도 거제시,2.1,2
 전라북도 무주군,경상북도 김천시,1.8,2
 전라북도 무주군,대전광역시 대덕구,1.4,2
 전라북도 무주군,세종특별자치시 ,1.4,2
 전라북도 무주군,경상남도 사천시,1.3,2
