동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드
1332,4678,기타가족,오빠_삼촌_패밀리,미식,녹차_팥빙수_보리밥
1258,1051,부모님,아버님_할아버지_아빠,자연경관,바다_시골_전망대
155,365,연인,애인_커플_남친,문화예술,박물관_전시관_미술관
62,353,회사동료,차장_동료_직장동료,레포츠/운동,캠핑_등산_패러글라이딩
42,159,자녀,아들_딸_학생,역사유적,유네스코_세계문화유산_정자
16,86,친구,친구_지인,휴식/힐링,힐링_테라피_호캉스
12,8,학생,고딩_중학생_대학생,체험,한옥스테이_갯벌체험_수학여행
10,7,배우자,남편_신랑_와이프,반려동물,동물_애견_길고양이
8,0,싱글,혼자_싱글,,
