동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드
5784,11831,친구,지인_친구_절친,자연경관,계곡_바다_바닷가
2827,10356,기타가족,식구_오빠_가족,미식,막국수_맛집_바나나
857,9458,자녀,아들_학생_딸,휴식/힐링,힐링_피크닉_테라피
471,3004,배우자,아내_남편_와이프,레포츠/운동,낚시_캠핑_글램핑
364,1245,연인,애인_남친_커플,문화예술,노래방_카지노_박물관
184,864,회사동료,대리_직원_동료,반려동물,유기견_유기동물_애견
158,98,부모님,아빠_모녀_아부지,역사유적,다리_정자_사찰
98,14,학생,고딩_중딩_대학생,체험,템플스테이_배낚시체험_갯벌체험
13,0,싱글,혼자_싱글,,
