연령대,남성방문 비율,여성방문 비율
70세 이상,2.1,2.1
60~69세,9.1,7.8
50~59세,12.4,10.8
40~49세,11.6,7.7
30~39세,8.6,7.2
20~29세,9.0,7.4
10~19세,2.0,1.4
