동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드,
46,124,부모님,아빠_아버님_아버지,역사유적,묘지_교회_국립묘지,상주동학교당
10,7,기타가족,가족_엄마,자연경관,공원_국립공원,상주동학교당
3,4,학생,대학생_고등학생,미식,카페_복숭아_차,상주동학교당
1,4,자녀,아들,반려동물,유기견_유기동물,상주동학교당
1,0,친구,친구,,,상주동학교당
