연령대,남성방문 비율,여성방문 비율
70세 이상,1.1,1.3
60~69세,4.4,4.2
50~59세,7.4,7.4
40~49세,8.6,7.2
30~39세,11.3,9.4
20~29세,15.7,14.9
10~19세,3.1,2.9
