연령대,남성방문 비율,여성방문 비율
70세 이상,3.2,2.2
60~69세,6.1,5.4
50~59세,8.8,7.8
40~49세,10.0,7.3
30~39세,11.8,9.6
20~29세,10.2,14.1
10~19세,1.2,1.9
