동반유형_빈도수,여행유형/트렌드_빈도수,동반유형,동반유형 관련 키워드,여행유형/트렌드,여행유형/트렌드 관련 키워드
7929,70364,기타가족,언니_오빠_형부,미식,라면_맛집_맥주
5564,31288,연인,애인_여자친구_커플,문화예술,노래방_영화관_갤러리
5068,1678,친구,친구_지인_동창,휴식/힐링,나들이_호캉스_힐링
4276,1420,부모님,아버지_아부지_부모,레포츠/운동,낚시_캠핑_헬스장
2791,1031,회사동료,대리_차장_직장동료,자연경관,바다_강변_공원
1591,120,자녀,아들_딸_따님,역사유적,한옥마을_다리_고궁
85,95,학생,중딩_고삼_고딩,반려동물,유기견_동물_길고양이
37,23,싱글,혼자_싱글남_싱글,체험,수학여행_포도수확체험_시티투어
31,0,배우자,아내_부인_남편,,
