연령대,남성방문 비율,여성방문 비율
70세 이상,3.3,2.1
60~69세,13.0,6.2
50~59세,17.0,7.2
40~49세,13.2,4.4
30~39세,10.7,3.5
20~29세,9.5,3.6
10~19세,3.7,2.2
